INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2025-01-01T01:00:00-00:00,2025-01-01T02:00:00-00:00,0,2024-12-31,18,0,ACTUAL,EPE,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,922,ACTUAL,13
2025-01-01T03:00:00-00:00,2025-01-01T04:00:00-00:00,0,2024-12-31,20,0,ACTUAL,EPE,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,870,ACTUAL,13
2025-01-01T04:00:00-00:00,2025-01-01T05:00:00-00:00,0,2024-12-31,21,0,ACTUAL,EPE,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,846,ACTUAL,13
2025-01-01T05:00:00-00:00,2025-01-01T06:00:00-00:00,0,2024-12-31,22,0,ACTUAL,EPE,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,818,ACTUAL,13
2025-01-01T02:00:00-00:00,2025-01-01T03:00:00-00:00,0,2024-12-31,19,0,ACTUAL,EPE,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,898,ACTUAL,13
2025-01-01T07:00:00-00:00,2025-01-01T08:00:00-00:00,0,2024-12-31,24,0,ACTUAL,EPE,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,771,ACTUAL,13
2025-01-01T00:00:00-00:00,2025-01-01T01:00:00-00:00,0,2024-12-31,17,0,ACTUAL,EPE,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,909,ACTUAL,13
2025-01-01T06:00:00-00:00,2025-01-01T07:00:00-00:00,0,2024-12-31,23,0,ACTUAL,EPE,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,794,ACTUAL,13
2025-01-01T07:00:00-00:00,2025-01-01T08:00:00-00:00,0,2024-12-31,24,0,ACTUAL,IPCO,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2029,ACTUAL,14
2025-01-01T04:00:00-00:00,2025-01-01T05:00:00-00:00,0,2024-12-31,21,0,ACTUAL,IPCO,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2149,ACTUAL,14
2025-01-01T00:00:00-00:00,2025-01-01T01:00:00-00:00,0,2024-12-31,17,0,ACTUAL,IPCO,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2297,ACTUAL,14
2025-01-01T05:00:00-00:00,2025-01-01T06:00:00-00:00,0,2024-12-31,22,0,ACTUAL,IPCO,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2134,ACTUAL,14
2025-01-01T01:00:00-00:00,2025-01-01T02:00:00-00:00,0,2024-12-31,18,0,ACTUAL,IPCO,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2301,ACTUAL,14
2025-01-01T03:00:00-00:00,2025-01-01T04:00:00-00:00,0,2024-12-31,20,0,ACTUAL,IPCO,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2199,ACTUAL,14
2025-01-01T02:00:00-00:00,2025-01-01T03:00:00-00:00,0,2024-12-31,19,0,ACTUAL,IPCO,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2255,ACTUAL,14
2025-01-01T06:00:00-00:00,2025-01-01T07:00:00-00:00,0,2024-12-31,23,0,ACTUAL,IPCO,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2072,ACTUAL,14
2025-01-01T04:00:00-00:00,2025-01-01T05:00:00-00:00,0,2024-12-31,21,0,ACTUAL,LADWP,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2696,ACTUAL,15
2025-01-01T05:00:00-00:00,2025-01-01T06:00:00-00:00,0,2024-12-31,22,0,ACTUAL,LADWP,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2604,ACTUAL,15
2025-01-01T06:00:00-00:00,2025-01-01T07:00:00-00:00,0,2024-12-31,23,0,ACTUAL,LADWP,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2508,ACTUAL,15
2025-01-01T02:00:00-00:00,2025-01-01T03:00:00-00:00,0,2024-12-31,19,0,ACTUAL,LADWP,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2857,ACTUAL,15
2025-01-01T07:00:00-00:00,2025-01-01T08:00:00-00:00,0,2024-12-31,24,0,ACTUAL,LADWP,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2426,ACTUAL,15
2025-01-01T00:00:00-00:00,2025-01-01T01:00:00-00:00,0,2024-12-31,17,0,ACTUAL,LADWP,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2652,ACTUAL,15
2025-01-01T01:00:00-00:00,2025-01-01T02:00:00-00:00,0,2024-12-31,18,0,ACTUAL,LADWP,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2866,ACTUAL,15
2025-01-01T03:00:00-00:00,2025-01-01T04:00:00-00:00,0,2024-12-31,20,0,ACTUAL,LADWP,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2784,ACTUAL,15
2025-01-01T00:00:00-00:00,2025-01-01T01:00:00-00:00,0,2024-12-31,17,0,ACTUAL,MWD-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.3,208,ACTUAL,16
